What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Undergraduate,,,Other,Canada,Australia,,01-01-21,No,,Student,,2002,No,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Radiation,Canada,USA,,01-09-21,No,,Working professional,< 1 year of work exp,1997,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,UK,Canada,01-09-21,Yes,No,Student,,1999,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,Yes,,1
Postgraduate,,,Business & Economics,USA,USA,USA,01-01-21,No,,Student,,2001,Yes,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Food Tech,UK,,,01-09-21,Yes,No,Student,,1999,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,No,,1
Postgraduate,,,Sciences,USA,Canada,UK,01-09-21,Yes,No,Student,,1998,No,Yes,< 5 ,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Marketing,Australia,UK,,01-09-21,No,,Working professional,7+ years of work exp,1988,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Postgraduate,,,Other,Canada,,,01-01-21,No,,Student,,1999,No,Yes,< 5 ,Not provided,Combined self /parent funding and bank loan,Not provided,No,,,Yes,,0
Postgraduate,,,Engineering,Canada,,,01-01-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Not provided,Yes,IELTS,6,Yes,,0
Undergraduate,,,Psychology,Canada,Australia,,01-01-24,Yes,No,Student,,2003,No,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,Business & Economics,Canada,Australia,,01-09-21,No,,Student,,2001,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Education,Canada,,,01-01-21,No,,Student,,1995,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Other,UK,New Zealand,Australia,01-01-21,No,,Working professional,4 - 6 years of work exp,1991,Yes,No,,Not provided,Self funding,In-Service,No,,,No,,0
Undergraduate,,,Other,Australia,,,01-01-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Not provided,Yes,IELTS,5.5,No,,0
Undergraduate,,,BJMC,USA,Australia,,01-09-21,No,,Student,,1994,Yes,No,,Not provided,Self funding,Not provided,No,,,Yes,,0
Postgraduate,,,Sciences,Ireland,Ireland,UK,01-09-21,No,,Working professional,4 - 6 years of work exp,1994,Yes,No,,10 lakhs or under,Bank loan,In-Service,No,,,Yes,None,0
Vocational,,,Hospitality,Canada,Canada,Canada,01-01-21,Yes,Yes,Student,,1997,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,Yes,IELTS,7,Yes,None,0
Postgraduate,,,Business & Economics,UK,UK,UK,01-09-21,Yes,No,Student,,1999,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,none,0
Vocational,,,Engineering,Australia,New Zealand,UK,01-09-21,No,,Student,,1994,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Business & Economics,Canada,Canada,Canada,01-01-22,Yes,No,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,7.5,No,,0
Undergraduate,,,hospitality,USA,Canada,Australia,01-09-22,No,,Student,,2002,No,No,,10 - 20 lakhs,Bank loan,Own business,No,,,No,none,0
Undergraduate,,,Hositality,Canada,Canada,Canada,01-09-21,No,,Student,,2002,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,None,0
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-09-21,Yes,No,Working professional,7+ years of work exp,1991,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,None,1
Postgraduate,,,Pharmacy,Australia,Canada,UK,01-09-21,No,,Student,,1994,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,none,0
Postgraduate,,,Business & Economics,Canada,New Zealand,UK,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Other,Own business,No,,,No,None,0
Postgraduate,,,Music,Canada,Canada,Canada,01-09-21,No,,Student,,2000,No,No,,10 lakhs or under,Parents asset,Own business,No,,,Yes,None,0
Postgraduate,,,Sciences,Australia,Canada,UK,01-01-22,No,,Student,,1999,No,Yes,< 5 ,Not provided,Other,Own business,No,,,Yes,None,0
Postgraduate,,,Business & Economics,Ireland,Australia,Australia,01-01-21,No,,Student,,1999,No,No,,Not provided,Other,In-Service,No,,,No,None,0
Postgraduate,,,Other,USA,UK,,01-09-21,No,,Working professional,1 - 3 years of work exp,1998,No,No,,10 lakhs or under,Self funding,Own business,No,,,No,,0
Postgraduate,,,Other,UK,USA,Canada,01-01-21,No,,Student,,1998,No,No,,Not provided,Other,Not provided,No,,,No,,0
Postgraduate,,,Other,USA,,,01-01-21,No,,Student,,1998,No,No,,Not provided,Parents asset,Not provided,Yes,GRE,310,Yes,,0
Postgraduate,,,Other,UK,,,01-09-21,No,,Working professional,< 1 year of work exp,1997,Yes,Yes,06-Oct,Not provided,Bank loan,Own business,No,,,Yes,,0
Postgraduate,,,Other,USA,Australia,,19-06-05,No,,Student,,1993,Yes,No,,Not provided,Other,Own business,No,,,Yes,,0
Postgraduate,,,Other,USA,Australia,,01-01-22,Yes,No,Working professional,4 - 6 years of work exp,1995,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,1
Postgraduate,,,Other,UK,USA,,01-09-21,No,,Working professional,4 - 6 years of work exp,1988,Yes,Yes,< 5 ,Not provided,Other,Not provided,No,,,Yes,,0
Undergraduate,,,Hospitality,Canada,,,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Business & Economics,UK,Canada,,01-01-21,No,,Student,,2003,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Social Wprk,Canada,,,01-09-21,No,,Student,,1997,No,No,,Not provided,Other,In-Service,No,,,Yes,,0
Postgraduate,,,Engineering,Canada,Australia,UK,01-01-21,No,,Student,,2000,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Engineering,USA,,,01-09-21,No,,Student,,1998,No,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Business & Economics,Canada,USA,UK,01-01-21,No,,Student,,1991,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,5.5,Yes,None,0
Postgraduate,,,Engineering,USA,Canada,,01-09-21,No,,Student,,1998,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Business & Economics,USA,Canada,Canada,24-06-05,No,,Student,,1999,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,Yes,None,0
Postgraduate,,,Business & Economics,UK,,,01-01-21,Yes,No,Working professional,< 1 year of work exp,1990,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,USA,Canada,,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-09-21,No,,Working professional,7+ years of work exp,1985,Yes,No,,Not provided,Bank loan,Not provided,No,,,Yes,None,0
Postgraduate,,,Management,Australia,,,01-01-22,No,,Working professional,1 - 3 years of work exp,1998,No,No,,20 - 30 lakhs,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Student,,1995,Yes,No,,Not provided,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,Canada,Canada,01-01-22,No,,Student,,1996,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None,0
Vocational,,,Other,Canada,,,01-09-21,No,,Student,,1997,Yes,Yes,< 5 ,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,USA,Canada,UK,01-09-21,No,,Working professional,1 - 3 years of work exp,1998,Yes,Yes,< 5 ,20 - 30 lakhs,Parents asset,In-Service,No,,,Yes,agent consultancy,0
Postgraduate,,,Sciences,USA,UK,Australia,01-01-21,No,,Student,,1999,No,No,,Not provided,Parents asset,Own business,No,,,Yes,None,0
Postgraduate,,,Law/legal studies,UK,Canada,Australia,01-09-21,No,,Working professional,< 1 year of work exp,1997,Yes,Yes,< 5 ,30 lakhs and over,Bank loan,In-Service,No,,,Yes,None,0
Postgraduate,,,Other,New Zealand,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1989,No,No,,Not provided,Self funding,Own business,No,,,No,,0
Other,,,Hospitality,Australia,,,01-09-21,Yes,No,Student,,2005,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Engineering,USA,,,01-01-21,Yes,No,Student,,1996,Yes,No,,30 lakhs and over,Parents asset,Own business,Yes,IELTS,6.5,No,,0
Postgraduate,,,Computer Science and Information Technology,USA,USA,USA,01-01-21,No,,Student,,1998,Yes,No,,30 lakhs and over,Parents asset,Own business,Yes,IELTS,8,No,None,0
Undergraduate,,,Other,Canada,UK,Australia,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,, Data analytics,USA,Canada,Ireland,01-09-21,No,,Working professional,7+ years of work exp,1987,Yes,No,,Not provided,Bank loan,Not provided,Yes,IELTS,8,No,None,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,Canada,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,No,Yes,06-Oct,30 lakhs and over,Self funding,In-Service,No,,,Yes,None,0
Postgraduate,,,Management,Australia,UK,Canada,01-01-21,No,,Student,,1997,No,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Education,UK,UK,UK,01-09-21,No,,Working professional,7+ years of work exp,1986,Yes,No,,Not provided,Parents asset,Not provided,Yes,IELTS,6.5,No,None,0
Postgraduate,,,Maths,Australia,Canada,Ireland,01-09-21,No,,Student,,1999,No,No,,10 lakhs or under,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Sciences,UK,,,01-09-21,No,,Working professional,7+ years of work exp,1984,Yes,No,,Not provided,Self funding,Not provided,No,,,No,,0
Vocational,,,Music,USA,USA,UK,01-01-21,Yes,No,Working professional,1 - 3 years of work exp,1990,No,Yes,< 5 ,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Maths,Australia,,,01-01-21,No,,Student,,2000,No,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,Canada,Canada,01-09-21,No,,Working professional,4 - 6 years of work exp,1991,Yes,No,,Not provided,Parents asset,In-Service,Yes,Other,6.5,No,Also in touch with sagar studies,1
Vocational,,,Engineering,New Zealand,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Engineering,USA,,,01-01-21,No,,Student,,2004,No,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Biotechnology,Australia,Canada,Canada,01-09-21,No,,Working professional,< 1 year of work exp,1997,Yes,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,Yes,None,0
Vocational,,,Law/legal studies,Canada,,,01-01-21,Yes,No,Working professional,7+ years of work exp,1981,Yes,Yes,06-Oct,Not provided,Self funding,Own business,Yes,IELTS,6.5,No,,0
Postgraduate,,,Engineering,USA,USA,USA,01-01-21,No,,Student,,1998,Yes,No,,30 lakhs and over,Bank loan,Own business,No,,,Yes,None,0
Postgraduate,,,Sciences,USA,UK,UK,01-09-21,Yes,No,Working professional,< 1 year of work exp,1998,Yes,No,,30 lakhs and over,Bank loan,In-Service,No,,,No,None,0
Undergraduate,,,Engineering,Australia,Canada,,01-01-21,No,,Working professional,1 - 3 years of work exp,1990,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Management,UK,USA,Australia,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,Canada,Canada,Canada,01-01-21,No,,Student,,2001,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,None,0
Postgraduate,,,Engineering,USA,UK,Canada,01-01-21,No,,Student,,1998,Yes,Yes,06-Oct,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Undergraduate,,,Pharmacy,Ireland,,,01-01-21,No,,Student,,2004,No,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,UK,Canada,Canada,01-09-21,No,,Working professional,4 - 6 years of work exp,1990,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,none,0
Postgraduate,,,Other,Australia,,,01-01-21,No,,Student,,1997,Yes,No,,Not provided,Parents asset,Not provided,No,,,Yes,,0
Undergraduate,,,Engineering,Canada,Canada,Canada,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Industrial management,USA,Australia,Australia,01-01-21,Yes,No,Working professional,1 - 3 years of work exp,1997,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,In-Service,Yes,IELTS,7,Yes,None,0
Undergraduate,,,Sciences,UK,,,01-01-21,Yes,No,Student,,2004,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Humanities & Social Sciences,Australia,UK,UK,01-09-22,No,,Student,,1996,No,No,,10 lakhs or under,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,Language,Australia,Canada,,01-01-21,No,,Student,,1999,No,Yes,< 5 ,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Architecture & Built Environment Studies,UK,,,01-01-21,Yes,No,Working professional,< 1 year of work exp,1996,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Education,UK,USA,USA,01-09-22,No,,Working professional,4 - 6 years of work exp,1994,Yes,Yes,06-Oct,Not provided,Parents asset,Own business,No,,,No,None,0
Undergraduate,,,Banking,New Zealand,Ireland,,01-09-22,No,,Student,,2002,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-09-21,No,,Student,,1995,No,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,Management,Canada,Australia,USA,01-01-21,No,,Working professional,4 - 6 years of work exp,1997,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,Nusring,Canada,,,01-01-21,No,,Student,,1999,No,No,,Not provided,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Sciences,UK,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1990,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Engineering,Canada,UK,Australia,01-01-21,Yes,No,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Self funding,Not provided,Yes,TOEFL,90,No,,0
Undergraduate,,,Engineering,Canada,,,01-09-21,No,,Student,,2001,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Undergraduate,,,Engineering,UK,,,01-09-21,No,,Student,,2004,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Chemistry,USA,Canada,Canada,01-09-21,No,,Student,,1997,Yes,No,,10 - 20 lakhs,Bank loan,Own business,No,,,No,None,0
Postgraduate,,,Languages,Australia,Canada,Ireland,01-01-21,No,,Student,,1995,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Biotech,New Zealand,Ireland,UK,01-01-21,Yes,No,Student,,1998,Yes,No,,Not provided,Other,Own business,No,,,No,,0
Vocational,,,Business & Economics,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1993,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,5.5,Yes,,0
Undergraduate,,,Engineering,Australia,Canada,Ireland,01-01-21,No,,Student,,2002,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Biotech,USA,UK,Canada,01-01-21,Yes,No,Student,,1997,Yes,Yes,> 10,10 - 20 lakhs,Bank loan,In-Service,No,,,No,,0
Postgraduate,,,Marketing,Australia,,,01-01-21,No,,Student,,1996,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Hospitality ,Australia,UK,Canada,01.09.2024,No,,Working professional,7+ years of work exp,1993,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Business & Economics,Canada,Ireland,Australia,01-01-21,Yes,No,Working professional,7+ years of work exp,1987,Yes,No,,20 - 30 lakhs,Bank loan,Own business,No,,,Yes,None,0
Postgraduate,,,Law/legal studies,Australia,UK,USA,01-01-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,None,0
Undergraduate,,,Other,Australia,Canada,,01-09-21,No,,Student,,2001,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Management,Canada,Australia,UK,01-01-21,No,,Student,,2000,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,Culinary ,Australia,Canada,Canada,01-09-21,No,,Student,,2002,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,"
GlobEDwise",0
Postgraduate,,,Management,USA,,,01-01-21,No,,Working professional,< 1 year of work exp,2000,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Physiotherapy,New Zealand,Australia,,01-09-21,No,,Student,,1998,No,No,,Not provided,Self funding,Not provided,No,,,Yes,,0
Postgraduate,,,Nurshing,Australia,UK,Ireland,01-09-21,No,,Working professional,< 1 year of work exp,1997,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Management,Australia,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,10 - 20 lakhs,Self funding,Not provided,No,,,No,,0
Undergraduate,,,Business & Economics,New Zealand,,,01.09.2024,No,,Student,,1999,Yes,No,,20 - 30 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Physical Education,Canada,USA,USA,01-01-21,No,,Student,,1992,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,Yes,Mileston and study plus,0
Postgraduate,,,Business & Economics,Australia,Canada,Ireland,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,Yes,> 10,Not provided,Bank loan,In-Service,No,,,Yes,None,0
Undergraduate,,,Law/legal studies,Australia,Canada,Canada,01-09-21,No,,Student,,1997,Yes,No,,10 lakhs or under,Parents asset,Own business,Yes,IELTS,5.5,Yes,None,0
Postgraduate,,,Management,Australia,,,01.01.2024,No,,Student,,1999,Yes,No,,10 - 20 lakhs,Self funding,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,,,01-01-22,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Other,Not provided,No,,,No,,0
Vocational,,,Cosmetology,Canada,Australia,Australia,01-01-21,No,,Working professional,1 - 3 years of work exp,1978,Yes,No,,10 lakhs or under,Self funding,Own business,No,,,Yes,None,0
Postgraduate,,,Computer Science and Information Technology,UK,Canada,Canada,01-01-21,No,,Student,,2000,Yes,Yes,> 10,10 - 20 lakhs,Not provided,Not provided,No,,,No,NONE,0
Vocational,,,Business & Economics,Canada,,,01.01.2024,Yes,No,Student,,2002,Yes,No,,Not provided,Parents asset,Own business,Yes,IELTS,7,Yes,,0
Postgraduate,,,Media & Communications,UK,,,01-09-22,No,,Working professional,1 - 3 years of work exp,1993,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,Biology,New Zealand,,,01-01-21,No,,Student,,2004,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Robotics,UK,UK,UK,01-01-22,No,,Student,,1999,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Law/legal studies,USA,Canada,,01-09-21,No,,Student,,1996,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,Canada,Australia,USA,01-01-21,Yes,No,Student,,2004,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Other,Australia,,,01-01-21,No,,Student,,2000,No,No,,Not provided,Other,Not provided,No,,,No,,0
Vocational,,,Computer Science and Information Technology,Canada,,,01.09.2024,No,,Working professional,4 - 6 years of work exp,1990,Yes,No,,Not provided,Bank loan,Not provided,No,,,No,,0
Postgraduate,,,Marketing,UK,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1998,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Supply Chain,Canada,New Zealand,USA,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Bank loan,Not provided,No,,,Yes,,0
Postgraduate,,,Management,UK,USA,,01-09-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Management,UK,Canada,,01-09-21,No,,Working professional,4 - 6 years of work exp,1992,Yes,No,,Not provided,Bank loan,In-Service,No,,,No,,0
Postgraduate,,,Data Science,Australia,UK,Ireland,01-01-21,No,,Student,,1995,No,Yes,06-Oct,10 - 20 lakhs,Other,In-Service,No,,,No,,0
Undergraduate,,,Pharmacy,Canada,,,01-09-21,No,,Student,,2002,Yes,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,Law/legal studies,USA,UK,,01.09.2025,Yes,No,Student,,2004,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Law/legal studies,UK,,,01-09-21,No,,Student,,1995,Yes,No,,30 lakhs and over,Parents asset,Own business,No,,,Yes,,0
Vocational,,,Business & Economics,Australia,Canada,Canada,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,6,Yes,None,0
Postgraduate,,,Artificial intelligence,Australia,Canada,USA,01-09-22,No,,Working professional,1 - 3 years of work exp,1993,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,Yes,None,0
Postgraduate,,,Management,Canada,,,01-01-21,Yes,No,Working professional,7+ years of work exp,1987,Yes,No,,20 - 30 lakhs,Self funding,In-Service,Yes,IELTS,7.5,Yes,,1
Undergraduate,,,Law/legal studies,USA,UK,Australia,01-01-21,Yes,No,Student,,2003,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,UK,Canada,USA,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,none,0
Undergraduate,,,Business & Economics,Australia,Australia,Australia,01-09-21,Yes,No,Student,,2002,Yes,No,,Not provided,Parents asset,In-Service,Yes,Other,54,Yes, none,0
Vocational,,,Computer Science and Information Technology,Canada,UK,Australia,01-09-21,No,,Working professional,4 - 6 years of work exp,1990,Yes,No,,10 lakhs or under,Other,Own business,No,,,Yes,,0
Postgraduate,,,data sicence,USA,USA,USA,01-01-21,No,,Student,,1999,Yes,No,,20 - 30 lakhs,Bank loan,Own business,No,,,Yes,None,0
Vocational,,,Other,USA,Australia,,01-09-22,No,,Working professional,1 - 3 years of work exp,1992,Yes,No,,Not provided,Self funding,Own business,No,,,Yes,,0
Vocational,,,Other,Canada,,,01-09-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,7,Yes,,0
Undergraduate,,,Pharmacy,Canada,,,04-01-00,No,,Student,,2004,No,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Sciences,Australia,Australia,Australia,01-01-21,No,,Working professional,1 - 3 years of work exp,1994,No,No,,10 lakhs or under,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,Business & Economics,Australia,Canada,New Zealand,01-09-21,Yes,No,Student,,2002,Yes,No,,30 lakhs and over,Bank loan,In-Service,No,,,No,none,0
Postgraduate,,,Languages,USA,UK,Australia,01-01-21,No,,Student,,1999,Yes,No,,10 lakhs or under,Other,Own business,No,,,Yes,Leads abroad,0
Postgraduate,,,Management,Canada,Australia,New Zealand,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Self funding,Not provided,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,Canada,01-09-21,No,,Student,,1997,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Physical therapy,UK,,UK,01-01-21,No,,Student,,1998,Yes,No,,10 - 20 lakhs,Bank loan,Own business,No,,,No,None,1
Postgraduate,,,Other,Canada,Australia,,01.01.2024,No,,Working professional,4 - 6 years of work exp,1987,Yes,No,,Not provided,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Politics ,Australia,UK,,01-05-21,Yes,No,Student,,2000,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Management,UK,,,01-09-22,No,,Student,,2000,Yes,No,,20 - 30 lakhs,Parents asset,Not provided,No,,,No,,0
Undergraduate,,,Engineering,Australia,Australia,Australia,01-09-21,No,,Student,,2002,No,No,,Not provided,Not provided,Own business,No,,,No,None,0
Postgraduate,,,Media & Communications,Canada,Ireland,,01-09-21,No,,Working professional,7+ years of work exp,1986,Yes,No,,Not provided,Bank loan,Not provided,Yes,IELTS,8,Yes,,0
Undergraduate,,,CA,Canada,,,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,Canada,New Zealand,New Zealand,01-09-21,No,,Working professional,< 1 year of work exp,1995,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Psychology,Canada,UK,USA,01-09-21,No,,Student,,2000,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,USA,USA,USA,01-09-21,No,,Working professional,4 - 6 years of work exp,1995,Yes,Yes,> 10,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Engineering,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Self funding,Not provided,No,,,Yes,,0
Postgraduate,,,Engineering,Canada,,,01-09-22,No,,Student,,1999,Yes,No,,Not provided,Bank loan,Own business,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,UK,USA,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,No,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,none,0
