What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Vocational,,,Other,Canada,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1988,Yes,No,,Not provided,Not provided,Not provided,No,,,Yes,,0
Postgraduate,,,Other,Australia,Ireland,UK,01-09-21,No,,Student,,1989,Yes,No,,Not provided,Other,In-Service,No,,,No,no,0
Postgraduate,,,Other,Australia,Canada,Ireland,01-09-21,No,,Student,,2000,No,No,,10 lakhs or under,Combined self /parent funding and bank loan,In-Service,No,,,No,No,0
Vocational,,,Other,Australia,Ireland,,01-09-21,No,,Student,,1995,Yes,No,,10 lakhs or under,Bank loan,Own business,No,,,No,NA,0
Postgraduate,,,Education,Ireland,,,01-09-21,No,,Working professional,4 - 6 years of work exp,1990,Yes,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,No,,0
Postgraduate,,,Other,Australia,UK,Ireland,01.09.2021,No,,Student,,4061998,No,No,,Not provided,Parents asset,In-Service,No,,,No,No did not contact,0
Postgraduate,,,Other,Australia,Australia,Australia,01-01-21,Yes,No,Working professional,1 - 3 years of work exp,1995,Yes,Yes,< 5 ,20 - 30 lakhs,Bank loan,In-Service,No,,,Yes,not in touch with anyone,1
Undergraduate,,,Engineering,Australia,New Zealand,UK,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Bank loan,Own business,No,,,Yes,None,0
Undergraduate,,,Business & Economics,UK,Canada,Australia,01-09-22,No,,Student,,2004,Yes,No,,Not provided,Other,Own business,No,,,No,None yet.,0
Vocational,,,Other,Canada,Canada,Canada,01-01-21,No,,Working professional,7+ years of work exp,1989,Yes,No,,10 lakhs or under,Bank loan,Own business,No,,,No,not in touch with anyone,0
Postgraduate,,,Computer Science and Information Technology,Australia,Canada,USA,01-01-21,Yes,No,Student,,1998,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,Yes,IELTS,6,Yes,no,1
Postgraduate,,,Other,Australia,Canada,New Zealand,01-09-21,Yes,Yes,Working professional,4 - 6 years of work exp,1991,Yes,No,,10 lakhs or under,Combined self /parent funding and bank loan,Own business,Yes,Other,7,Yes,MWTE Counsultants,0
Vocational,,,Other,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Sponsorship by relatives,Not provided,No,,,Yes,,0
Postgraduate,,,Other,Canada,Australia,UK,01-01-21,No,,Working professional,1 - 3 years of work exp,1994,No,Yes,< 5 ,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,NA,0
Postgraduate,,,Other,Australia,UK,Ireland,01-09-21,No,,Working professional,< 1 year of work exp,1997,No,No,,Not provided,Other,In-Service,No,,,No,No,1
Postgraduate,,,Engineering,USA,Canada,,01-09-21,Yes,No,Student,,1999,Yes,Yes,< 5 ,Not provided,Parents asset,In-Service,No,,,Yes,None yet.,1
Postgraduate,,,Engineering,Australia,Canada,UK,01-09-21,No,,Student,,1999,No,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,no,0
Vocational,,,Engineering,Australia,,,01-01-21,No,,Working professional,< 1 year of work exp,1997,No,No,,Not provided,Not provided,In-Service,No,,,No,no,0
Postgraduate,,,Other,Australia,USA,Canada,01.01.2021,No,,Student,,20041999,Yes,No,,10 - 20 lakhs,Bank loan,Own business,No,,,No,No did not contact,0
Postgraduate,,,Other,Australia,New Zealand,,01-01-21,No,,Working professional,7+ years of work exp,1985,Yes,Yes,< 5 ,10 - 20 lakhs,Self funding,Own business,No,,,Yes,Y Axis ,0
Postgraduate,,,Business & Economics,Australia,USA,,01-01-21,No,,Working professional,< 1 year of work exp,1996,Yes,No,,Not provided,Other,Own business,No,,,Yes,None yet.,0
Postgraduate,,,Other,Australia,Canada,USA,01-09-21,No,,Student,,1999,No,Yes,< 5 ,Not provided,Other,In-Service,No,,,No,No,0
Undergraduate,,,Other,UK,Canada,New Zealand,01-09-21,Yes,No,Student,,2003,No,No,,Not provided,Parents asset,Own business,No,,,Yes,no,0
Postgraduate,,,Other,USA,,,01-01-21,No,,Working professional,7+ years of work exp,1988,Yes,No,,Not provided,Self funding,Not provided,No,,,Yes,,1
Postgraduate,,,Engineering,Australia,,,01-09-21,No,,Student,,1997,No,No,,Not provided,Not provided,In-Service,No,,,No,None,0
Undergraduate,,,Computer Science and Information Technology,Canada,Australia,,01-09-21,Yes,No,Student,,2002,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Business & Economics,USA,Canada,Canada,01.01.2021,No,,Student,,2051998,Yes,No,,10 - 20 lakhs,Bank loan,In-Service,Yes,GRE,10,No,No did not contact,0
Postgraduate,,,Other,USA,Canada,,01-09-21,No,,Student,,1999,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,No,None,0
Postgraduate,,,Other,USA,Canada,UK,01-01-22,No,,Student,,2000,Yes,No,,30 lakhs and over,Combined self /parent funding and bank loan,Own business,No,,,Yes,no,0
Postgraduate,,,Other,USA,UK,Australia,01-01-21,No,,Student,,1998,Yes,No,,10 - 20 lakhs,Self funding,Own business,Yes,IELTS,6.5,No,No,0
Postgraduate,,,Business & Economics,UK,UK,UK,01.01.2021,No,,Student,,2121996,Yes,No,,20 - 30 lakhs,Parents asset,Own business,Yes,TOEFL,8.1,No,No did not contact,0
Postgraduate,,,Other,Australia,UK,Ireland,01-01-21,Yes,No,Working professional,1 - 3 years of work exp,1992,Yes,Yes,> 10,20 - 30 lakhs,Parents asset,In-Service,No,,,No,No,0
Postgraduate,,,Other,UK,,,01-09-21,No,,Student,,1991,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Other,UK,USA,New Zealand,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,No,no,0
Postgraduate,,,Other,UK,Australia,Canada,01-09-22,No,,Student,,2001,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,No,0
Postgraduate,,,Engineering,UK,,,01-09-21,No,,Student,,1999,No,No,,Not provided,Combined self /parent funding and bank loan,,No,,,Yes,,0
Undergraduate,,,Other,UK,Canada,Australia,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,10 lakhs or under,Bank loan,Not provided,No,,,Yes,no,0
Vocational,,,Other,USA,UK,Canada,01-09-21,No,,Student,,1996,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,Yes,No,0
